TÍTULO,AUTOR PREÇO,,USP 2021
ESQUERDISMO DOENCA INFANTIL DO COMUNISMO V. I. LENIN,,"33,00","16,50"
"ESTADO E A REVOLUCAO, O V. I. LENIN",,"34,00","17,00"
"ESTADO NO CENTRO DA MUNDIALIZACAO, O (NOVO) JAIME OSORIO",,"51,00","25,50"
ESTRATEGIA E TATICA MARTA HARNECKER,,"28,00","14,00"
ESTRELA VERMELHA SOBRE O TERCEIRO MUNDO VIJAY PRASHAD,,"32,00","16,00"
EUCLIDES DA CUNHA - MILITANTE DA REPUBLICA WALNICE NOGUEIRA GALVAO,,"7,00","3,50"
EVOLUCAO HISTORICA DO BRASIL THEOTONIO DOS SANTOS,,"51,00","25,50"
EXPERIENCIAS HIST DE REFORMA AGRARIA NO MUNDO  V.1 JOAO PEDRO STEDILE,,"45,00","22,50"
EXPERIENCIAS HIST DE REFORMA AGRARIA NO MUNDO V 2 JOAO PEDRO STEDILE,,"45,00","22,50"
FEMINISMO CAMPONES POPULAR - HISTORIA DO MMC MOVIMENTO DE MULHERES CAMPONESAS,,"30,00","15,00"
FIDEL E A REVOLUCAO JUDITE E DOS SANTOS EDGAR KOLLING ORG,,"55,00","27,50"
FLORESTAN FERNANDES  - VIDA E OBRA LAUREZ CERQUEIRA,,"33,00","16,50"
FLORESTAN FERNANDES IDEIAS PARA COMBATE FLORESTAN FERNANDES,,"40,00","20,00"
FLORESTAN FERNANDES SOCIOLOGIA CRITICA E MILITANT OCTAVIO IANNI; FLORESTAN FERNANDES,,"57,00","28,50"
FUNDAMENTOS DA ESCOLA DO TRABALHO NOVA ED M.M.PISTRAK,,"45,00","22,50"
"FUTURO DA FILOSOFIA DA PRAXIS,O LEANDRO KONDER",,"32,00","16,00"
GENERO PATRIARCADO VIOLENCIA (NOVO) HELEIETH I. B. SAFFIOTI,,"30,00","15,00"
"GRAMSCI - PODER, POLITICA E PARTIDO SADER, EMIR (ORG.)",,"30,00","15,00"
GREGORIO BEZERRA - UM LUTADOR DO POVO ALDER JULIO FERREIRA CALADO,,"7,00","3,50"
"HASTEEMOS A BANDEIRA COLORIDA LEONARDO,ERIVAN H,THAIS P E KATIA M ORGS",,"45,00","22,50"
HELENIRA RESENDE - E A GUERRILHA DO ARAGUAIA BRUNO RIBEIRO,,"7,00","3,50"
HISTORIA DA COMUNA DE 1871 HIPPOLYTE PROSPER E OLIVIER LISSAGARAY,,"70,00","35,00"
"HISTORIA DA LUTA PELA TERRA E O MST, A MITSUE MORISSAWA",,"70,00","35,00"
HISTORIA DAS IDEIAS SOCIALISTAS NO BRASIL LEANDRO KONDER,,"35,00","17,50"
HISTORIA DO MENINO QUE LIA O MUNDO CARLOS RODRIGUES BRANDAO,,"22,00","11,00"
HISTORIA DO PRESENTE ROBERTO AMARAL,,"60,00","30,00"
HISTORIA NATUREZA TRABALHO E EDUCACAO MARX / ENGELS,,"60,00","30,00"
"HORA DO TEATRO EPICO NO BRASIL, A INA CAMARGO COSTA",,"30,00","15,00"
"HORA OBSCURA, A - TESTEMUNHOS DA REPRESSAO POLITICJULIUS FUCIK/ HENRI ALLEG/ VICTOR SERGE",,"45,00","22,50"
"HORIZONTES AMAZONICOS B. MALHEIRO, C. W. P.GONCALVES.,F.MICHEL",,"30,00","15,00"
IDEIAS PARA A LUTA MARTA HARNECKER,,"16,00","8,00"
IDENTIDADE E LUTA DE CLASSES ADEMAR BOGO,,"42,00","21,00"
"IDEOLOGIA ALEMA, A KARL MARX E FRIEDRICH ENGELS",,"28,00","14,00"
IMAGEM DA MULHER NA MIDIA RACHEL MORENO,,"48,00","24,00"
IMPERIALISMO ESTAGIO SUPERIOR DO CAPITALISMO V. I. LENIN,,"33,00","16,50"
"INTELECTUAIS, EDUCACAO E ESCOLA GIOVANNI SEMERARO",,"45,00","22,50"
INTRODUCAO AO ESTUDO DO METODO DE MARX JOSE PAULO NETTO,,"5,00","2,50"
INTRODUCAO AO FASCISMO LEANDRO KONDER,,"33,00","16,50"
"JOAO AMAZONAS, UM COMUNISTA BRASILEIRO AUGUSTO BUONICORE",,"7,00","3,50"
JOFRE CORREA NETTO CLIFFORD ANDREW WELCH,,"7,00","3,50"
JOSE HUBERTO BRONCA DEUSA MARIA DE SOUZA,,"7,00","3,50"
JOSUE DE CASTRO- VIDA E OBRA BERNARDO M.F/CARLOS W.P.G(ORGS),,"33,00","16,50"
JUSTICA DE TRANSICAO RENAN HONÓRIO QUINALHA,,"40,00","20,00"
LENIN E A REVOLUCAO DE OUTUBRO V. I. LENIN,,"57,00","28,50"
LENIN E A REVOLUCAO RUSSA OZIEL GOMES,,"40,00","20,00"
"LINGUAGEM ESCRAVIZADA, A FLORENCE CARBONI / MARIO MAESTRI",,"32,00","16,00"
LUIZ CARLOS PRESTES - O COMBATE ANITA LEOCADIA PRESTES,,"49,00","24,50"
LUIZ GAMA - O LIBERTADOR DE ESCRAVOS MOUZAR BENEDITO,,"7,00","3,50"
"MAE, A MAXIMO GORKI",,"57,00","28,50"
MANEJO ECOLOGICO DE PASTAGENS ANA MARIA PRIMAVESI,,"55,00","27,50"
MANEJO ECOLOGICO DE PRAGAS E DOENCAS ANA MARIA PRIMAVESI,,"33,00","16,50"
MANOEL BOMFIM ALUIZIO ALVES FILHO,,"7,00","3,50"
MANUAL DO SOLO VIVO ANA MARIA PRIMAVESI,,"38,00","19,00"
MAO ZEDONG E A REVOLUCAO CHINESA MIGUEL HENRIQUE STEDILE (ORG),,"49,00","24,50"
"MARCAL GUARANI, A VOZ QUE NAO PODE SER ESQUECIDA BENEDITO PREZIA",,"7,00","3,50"
MARIA DA CONCEICAO TAVARES HILDETE PEREIRA DE MELO (ORG.),,"50,00","25,00"
MARX E A SUPERACAO DO ESTADO ADEMAR BOGO,,"42,00","21,00"
MARX E O SOCIALISMO CESAR BENJAMIN,,"29,00","14,50"
MARX ENGELS LENIN A HISTORIA EM PROCESSO FLORESTAN FERNANDES,,"42,00","21,00"
MARX TARDIO E A VIA RUSSA TEODOR SHANIN,,"52,00","26,00"
MARX VIDA E OBRA - NOVO LEANDRO KONDER,,"30,00","15,00"
MARXISMO NA AMERICA LATINA NOVA ED MICHAEL LOWY,,"63,00","31,50"
MAURICIO GRABOIS - UMA VIDA PELO BRASIL VICTORIA L. GRABOIS E MARIO GRABOIS,,"7,00","3,50"
MEMORIAS DE UM SARGENTO DE MILICIAS MANUEL ANTONIO DE ALMEIDA,"49,00",,"24,50"
MILITARES E POLITICA NO BRASIL PAULO CUNHA (ORG.),"57,00",,"28,50"
MISERIA DA FILOSOFIA RESPOSTA A FILOSOFIA DA KARL MARX,"42,00",,"21,00"
MONTANHA E ALGO MAIS QUE UMA IMENSA ESTEPE VERDE OMAR CABEZAS,"38,00",,"19,00"
"MORTOS PERMANECEM JOVENS, OS ANNA SEGHERS","40,00",,"20,00"
MOVIMENTO SOCIALISTA E PARTIDOS POLITICOS FLORESTAN FERNANDES,"18,00",,"9,00"
"MULHER NA SOCIEDADE DE CLASSES, A HELEIETH I. B. SAFFIOTI","57,00",,"28,50"
MUTIRAO EM NOVO SOL NELSON XAVIER COAUT.AUGUSTO BOAL,"38,00",,"19,00"
NAO POSSO SER QUEM SOMOS ANDREA PENICHE ET ALL,"36,00",,"18,00"
NAZARENO CIAVATTA-UMA LIDERANCA NO SID. RURAL MARIA ANGELICA M. GARCIA,"7,00",,"3,50"
NELSON WERNECK SODRE JOSE PAULO NETTO,"7,00",,"3,50"
NINGUEM REGULA A AMERICA ANA PENIDO E MIGUEL ENRIQUE STEDILE,"25,00",,"12,50"
NOEL ROSA - POETA DA VILA LUIZ RICARDO LEITAO,"38,00",,"19,00"
NOS E O MARXISMO FLORESTAN FERNANDES,"5,00",,"2,50"
NOTAS SOBRE A FOME HELENA SILVESTRE,"30,00",,"15,00"
NOTICIAS DE LUGAR NENHUM WILLIAM MORRIS,"40,00",,"20,00"
"NOVA DIREITA, A FLAVIO H.CALHEIROS CASIMIRO","57,00",,"28,50"
"NOVA GAZETA RENANA KIT 2 VOLUMES KARL MARX E FRIEDRICH ENGELS 130,00",,,"65,00"
"NOVA MULHER E A MORAL SEXUAL, A ALEXANDRA KOLONTAI","32,00",,"16,00"
"O QUE E CRISTIANISMO DA LIBERTACAO, MICHAEL LOWY","40,00",,"20,00"
"OPERACAO LAVA JATO (EEP) FAUSTO AUGUSTO JR, JOSE SERGIO GABRIELL","40,00",,"20,00"
"ORGANIZACAO DO TRABALHO NO SECULO 20 -TOYOTISMO,FOGERALDO AUGUSTO PINTO","20,00",,"10,00"
ORGANIZACAO DO TRABALHO PEDAGOGICO EDNA RODRIGUES A ROSSETTO,"42,00",,"21,00"
ORGANIZACAO POLITICA E POLITICA DE QUADROS ADEMAR BOGO,"38,00",,"19,00"
"ORIGEM DA FAMILIA, DA PROPRIEDADE PRIVADA E DO EST FRIEDRICH ENGELS","45,00",,"22,50"
PANDEMIAS CRISES E CAPITALISMO ROSA MARQUES,"30,00",,"15,00"
PARA A QUESTAO JUDAICA KARL MARX,"20,00",,"10,00"
PARA ENTENDER A CRISE URBANA ERMINIA MARICATO,"25,00",,"12,50"
PARA ENTENDER OS SINDICATOS NO BRASIL WALDEMAR ROSSI E WILLIAM JORGE GERAB,"28,00",,"14,00"
PASTOREIO RACIONAL VOISIN LUIZ CARLOS PINHEIRO MACHADO,"50,00",,"25,00"
PATATIVA DO ASSARE- UM POETA CIDADAO GILMAR DE CARVALHO,"7,00",,"3,50"
PAULO FREIRE  -  VIDA E OBRA ANA INES SOUZA,"49,00",,"24,50"
PECAS DO CPC MAIS VALIA VAI ACABAR SEU EDGAR MUNDOODUVALDO VIANNA FILHO,"40,00",,"20,00"
"PEDAGOGIA DO MOVIMENTO SEM TERRA ROSELI CALDART E RAFAEL VILLAS BOAS ORGS 57,00",,,"28,50"
"PEDAGOGIA SOCIALISTA, LEGADO DA REVOLUCAO DE 1917 ROSELI CALDART E RAFAEL VILLAS BOAS ORGS 45,00",,,"22,50"
PEDRO POMAR - UM MILITANTE COMUNISTA WLADIMIR POMAR,"7,00",,"3,50"
"PENSAMENTO AFRICANO NO SECULO XX, O JOSE RIVAIR MACEDO (ORG)","51,00",,"25,50"
PEQUENOS CONTOS PARA COMECAR O DIA LEONARDO SAKAMOTO,"18,00",,"9,00"
PERGUNTE O PORQUE AO SOLO E A SUAS RAIZES ANA MARIA PRIMAVESI,"50,00",,"25,00"
PODER E CONTRAPODER NA AMERICA LATINA FLORESTAN FERNANDES,"29,00",,"14,50"
POVO DO ABISMO - EEP JACK LONDON,"52,00",,"26,00"
"POVOS INDIGENAS: TERRA, CULTURAS E LUTAS BENEDITO PREZIA/ CATARINA MAESTRINI/ LUC","42,00",,"21,00"
"PRAGAS, AGROTOXICOS E A CRISE AMBIENTE ADILSON D. PASCHOAL","34,00",,"17,00"
PROBLEMAS DA DEFECTOLOGIA LEV S. VIGOTSKY,"42,00",,"21,00"
"PRODUCAO ECOLOGICA DE ARROZ E A REF AGR POPULAR, A DALBERTO FLORIANO GRECO MARTINS","38,00",,"19,00"
"PSICOLOGIA, EDUCACAO E DESENVOLVIMENTO LEV S. VIGOTSKY","45,00",,"22,50"
QUANDO VIER O SILENCIO CHARLES TROCATE & TADZIO COELHO,"25,00",,"12,50"
"QUE E REVOLUCAO, O - FLORESTAN FLORESTAN FERNANDES","20,00",,"10,00"
"QUE E UMA REVOLUCAO, O? ALVARO GARCIA LINERA","28,00",,"14,00"
"QUE FAZER, O? - NIKOLAI NIKOLAI TCHERNYCHEVSKII","57,00",,"28,50"
QUE FAZER? PROBLEMAS CANDENTES DO NOSSO MOV V. I. LENIN,"45,00",,"22,50"
"QUESTAO AGRARIA, A  VL I DEBATE TRADICIONAL JOAO PEDRO STEDILE","43,00",,"21,50"
"QUESTAO AGRARIA, A VL II DEBATE NA ESQUER JOAO PEDRO STEDILE","45,00",,"22,50"
"QUESTAO AGRARIA, A VL III PROGR REFORMA AGRA JOAO PEDRO STEDILE","38,00",,"19,00"
"QUESTAO AGRARIA, A VL IX JOAO PEDRO STEDILE","51,00",,"25,50"
"QUESTAO AGRARIA, A VL VI DEBATE DECADA 1990 JOAO PEDRO STEDILE","52,00",,"26,00"
"QUESTAO AGRARIA, A VL VII DEBATE DECADA 2000 JOAO PEDRO STEDILE","45,00",,"22,50"
"QUESTAO AGRARIA, A VL VIII DEB SITUACAO PERSPEC JOAO PEDRO STEDILE","51,00",,"25,50"
"QUESTAO DA IDEOLOGIA, A (EXPRESSAO POPULAR) LEANDRO KONDER","45,00",,"22,50"
"QUESTAO DA MULHER DE UM PONTO DE VISTA SOCIALISTA, ELEANOR MARX","6,00",,"3,00"
"QUESTAO PALESTINA, A MARCELO BUZETTO","38,00",,"19,00"
QUILOMBOS  RESISTENCIA AO ESCRAVISMO CLOVIS MOURA,"25,00",,"12,50"
"REBELIAO DOS MARINHEIROS, A AVELINO BIOEN CAPITANI","40,00",,"20,00"
RECORDACOES DO ESCRIVAO ISAIAS CAMINHA LIMA BARRETO,"38,00",,"19,00"
REFLEXOES SOBRE A CONSTRUCAO DE UM INST POLITICO FLORESTAN FERNANDES,"18,00",,"9,00"
REFLEXOES SOBRE A REVOLUCAO CHINESA RENATA C MOREIRA E ROGERIO N FALEIROS,"51,00",,"25,50"
"REFORMA EMPRESARIAL DA EDUCACAO, A LUIS CARLOS FREITAS 30,00",,,"15,00"
"REPRESSAO MILITAR POLICIAL NO BRASIL, A ATON FON (ET AL. - ORGS.) 40,00",,,"20,00"
"RESISTENCIA 3 JORGE L SOUTO MAIOR E VALDETE SOUTO SEVE70,00",,,"35,00"
"REVOLUCAO ALEMA, A SEBASTIAN HAFFNER 45,00",,,"22,50"
"REVOLUCAO ANTES DA REVOLUCAO I- AS GUERRAS FRIEDRICH ENGELS 45,00",,,"22,50"
"REVOLUCAO ANTES DA REVOLUCAO II- AS LUTAS DE CLASS KARL MARX (RICARDO ANTUNES ORG.) 55,00",,,"27,50"
"REVOLUCAO ARTE E CULTURA ANATOLI LUNATCHARSKY 45,00",,,"22,50"
"REVOLUCAO DE ANITA, A SHIRLEY LANGER 48,00",,,"24,00"
"REVOLUCAO PERMANENTE LEON TROTSKY 38,00",,,"19,00"
"REVOLUCIONARIOS DE 1935:SONHO E REALIDADE MARLY DE ALMEIDA G. VIANNA 57,00",,,"28,50"
"ROBERTO MORENA - O MILITANTE LINCOLN DE ABREU PENNA 7,00",,,"3,50"
"ROSA LUXEMBURGO E O PROTAGONISMO DAS LUTAS ISABEL MARIA LOUREIRO (ORG) 40,00",,,"20,00"
"ROSA LUXEMBURGO OU O PRECO DA LIBERDADE JORN SCHUTRUMPF 45,00",,,"22,50"
"RUMO AO POLITECNISMO VIKTOR N SHULGIN 30,00",,,"15,00"
"SEM TERRA COM POESIA ROSELI CALDART E RAFAEL VILLAS BOAS ORGS 38,00",,,"19,00"
"SEM TERRA EM CARTAZ MST - VARIOS AUTORES 110,00",,,"55,00"
"SIGNIFICADO DO PROTESTO NEGRO FLORESTAN FERNANDES 30,00",,,"15,00"
"SISTEMA DE PLANTIO DIRETO DE HORTALICAS VARIOS AUTORES 110,00",,,"55,00"
"SOCIALISMO COMO ALTERNATIVA AOS DILEMAS DA HUMANIDFERNANDO MARTINEZ HEREDIA 52,00",,,"26,00"
"SOMENTE OS POVOS FAZEM SUA PROPRIA HISTORIA SAMIR AMIN 40,00",,,"20,00"
"SOPRO DA VIDA, O KAMUU DAN WAPICHANA 17,00",,,"8,50"
"SUZANA E O MUNDO DO DINHEIRO WIM DIERCKXSENS 27,00",,,"13,50"
"TAREFAS REVOLUCIONARIAS DA JUVENTUDE, AS NOVA ED V. I. LENIN 5,00",,,"2,50"
"TENSOES CRIATIVAS DA REVOLUCAO ALVARO GARCIA LINERA 22,00",,,"11,00"
"TEORIA DA ORGANIZACAO POLITICA - VOL. III ADEMAR BOGO (ORG) 55,00",,,"27,50"
"TEORIA DA ORGANIZACAO POLITICA - VOL. IV ADEMAR BOGO 55,00",,,"27,50"
"TEORIA E EDUCACAO NO LABIRINTO DO CAPITAL 4ED. GAUDENCIO FRIGOTTO/ MARIA CIAVATTA (ORG) 55,00",,,"27,50"
"TEORIA MARXISTA DA DEPENDENCIA MATHIAS SEIBEL LUCE 42,00",,,"21,00"
"TERRA PROMETIDA MARIA Y LINHARES E FRANCISCO C T SILVA 45,00",,,"22,50"
"TESTEMUNHOS DA UTOPIA MUJICA, PAPA, CHAVEZ E ANGELA DAVIS 20,00",,,"10,00"
"TRABALHADORES E SINDICATOS NO BRASIL MARCELO BADARO MATOS 30,00",,,"15,00"
"TRABALHO DE BASE RANULFO PELOSO (ORG.) 27,00",,,"13,50"
"TRABALHO DUPLICADO, O CLAUDIA MAZZEI NOGUEIRA 38,00",,,"19,00"
"TRABALHO NOS CLASSICOS DA SOCIOLOGIA, O CESAR SANSON 40,00",,,"20,00"
"TRAGEDIA E A FARSA, A FLAVIO H.CALHEIROS CASIMIRO 25,00",,,"12,50"
"TRANSFORMACAO DAS RELACOES HUMANAS E COOPERACAPOERTTI SIMULA 42,00",,,"21,00"
"UM MUNDO A CONSTRUIR NOVOS CAMINHOS MARTA HARNECKER 42,00",,,"21,00"
"UMA EPOPEIA BRASILEIRA- A COLUNA PRESTES ANITA LEOCADIA PRESTES 30,00",,,"15,00"
"UNIVERSIDADE BRASILEIRA FLORESTAN FERNANDES 52,00",,,"26,00"
"VALOR DO SOCIALISMO, O ADOLFO SANCHEZ VAZQUEZ 36,00",,,"18,00"
"VEIAS DO SUL CONTINUAM ABERTAS, AS EMILIANO LOPEZ (ORG) 33,00",,,"16,50"
"VIETNA A GUERRILHA VISTA POR DENTRO WILFRED G. BURCHETT 51,00",,,"25,50"
"ZEQUINHA BARRETO - UM JOVEM REVOLUCIONARIO CONTRAMARCIO AMENDOLA DE OLIVEIRA 7,00",,,"3,50"
