Código,Título,Link,Link da Image,preço,Preço Promocional
11096,Acima de tudo o amor,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eadciam/caa-dtael-oRtgu$/d po1r-9o,d9-au5"
11402,Acima de tudo o amor - Relatos,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe9ms,-9.2b00r","m1/eadciam/caa-dtael-otRgu$/d po2r-4o,d9-au5"
11475,Acorda! Sonhar não basta!,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eadcioar/dca-tsaolonRgh$/a p1rr-9on,d-9ou5-"
11468,As 4 chaves para a realização ilimitada,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe0ms,-0.2b00r","m1/eadsi-a4/-cahtaavloeRsg$-/p p2ar0roa,d0-ua0-"
11382,As aventuras de Juliana Baltar,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eadsi-a/vceanttaulorRag$s/- p1dr9eo,-d9ju5l"
11366,As leis invisíveis do dinheiro,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eadsi-ale/icsa-tinavloiRsgi$/v pe1ri9so-,9du5o"
10515,As pessoas na organização,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanRst-$em .1ca5oe4ms,-9.2b00r","m1/eadsi-ap/ecsastoaalosRg-n$/ ap7-r7o,rd4gu5a"
11469,Atenção: o maior ativo do mundo,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eadteian/c-aot-aolo-Rmg$/a p1ior9or,-d9au5ti"
11377,Casa organizada,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/ecdaisaa/-coartgaalonRgiz$/a p1dr9ao,-d9pu5r"
11423,Chata de galocha,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe4ms,-9.2b00r","m1/ecdhiat/ac-adtea-logRag$l/o p2crh7o,ad4-u5p"
11474,Código secreto do emagrecimento,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-5.2b00r","m1/ecdoidai/gcoa-tsaelocRrge$/t po2r1-od,d2ou5-"
11083,Como ficar muito rico com vendas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/ecdoima/oc-afticaalorR-gm$/ pu2ri2ot,od4-u5ri"
11454,Como saber do que seu filho realmente precisa?,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/ecdoima/oc-astabloeRgr$-/d p2or2o-q,d4uu5"
11177,Conquista,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe4ms,-9.2b00r","m1/ecdoinaq/cuaistatalo-Rpg$r/o p1dr7o.h,d4tu5"
11445,Dê um salto quântico na sua vida,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eddei-au/mca-tsaalolRtgo$/- qp2ur2oa,d4nu5ti"
11472,Desbloqueie o poder da sua mente,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ltiRev$.rco 3os9m-p,9.ab0rr","-mtoeddaias-/acsa-toacloaRgs$i/o p1er9so/,d9cua5"
11414,Diabetes controlada,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eddiaiab/ectaetsa-lcoRog$n/ pt2rro2ol,da4du5"
11473,É tipo isso,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a2oe9ms,-9.2b00r","m1/eed-tiaip/oca-itsasloR-gp$/r po1rd4o,.d9hu5t"
11398,Empreenda sem fronteiras,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ntRe$.gc o4c4mi,o9.bs0-r","m-eemdpiare/ceantdaelodRgo$/r pi2sr2mo,d4ou5/l"
11393,Empreender é viver,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"olivrarogse-ndtRe-$.c a5or4mr,e9.bi0rr","-me-esudciae/scsaot/alliovRrgo$/ sp2-rd7oe,d4-u5c"
11386,Faça ser fácil,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-5.2b00r","m1/efadci a/-csaetra-flaoRcgi$/l- pp2r1roo,d2du5."
11108,Faça seu cérebro trabalhar para você,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/efadci a/-csaetua-lcoRegr$/e pb2r2roo,d4-tu5r"
11435,Faça seu negócio decolar,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/efadci a/-csaetua-lnoReg$g/o p2cr2oio,d4-ud5"
11086,"Família, afeto e finanças",https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/efadmia/ilcia-tafleoRtgo$/- p1er-9of,id9nu5a"
11157,Feitiço,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/efeditai/ccoa-tparloRdg$./h p1trm9o,dl9u5"
11408,Férias sem fim,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/efedriaia/sc-asteamloR-gf$i/m p2r-2op,dr4ou5"
11374,Fique com alguém que não tenha dúvidas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/efdiqiau/ec-actoamloR-ga$/lg p2ur2oe,dm4u5-"
10665,Gente que faz,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a2oe9ms,-9.2b00r","m1/egdeinat/ec-aqtauleoR-gf$a/ zp1-rp4or,d9ou5d"
11457,Gestão do Amanhã,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ltiRev$.rco 6os4m-p,9.ab0rr","-mtoeddaias-/acsa-toacloaRgs$i/o p3er2so/,d4inu5"
11345,Gestão e cultura de resultados,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe9ms,-9.2b00r","m1/egdeisat/-coa-eta-clouRgl$t/u p2rra4o-,9du5e"
10560,Governança corporativa,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe4ms,-9.2b00r","m1/egdoivae/crnataanlcoRag$-/c po3rr2op,d4ou5r"
11372,Guerreiros não nascem prontos,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/egduiear/rceaitraolsoR-gn$/- po2r-2on,da4su5c"
11394,Incansáveis,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ntRe$.gc o4c4mi,o9.bs0-r","m-eemdpiare/ceantdaelodRgo$/r pi2sr2mo,d4ou5/"
11342,Invista em futebol,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eindviais/tcaa-teamloR-gf$u/ pt1er9ob,do9ul5-"
11441,Líder de resultado,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe9ms,-9.2b00r","m1/elidiear/-cdaeta-rleoRsgu$/l pt2ar4od,d9ou5-"
11133,Louco por viver,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-5.2b00r","m1/eloduiac/oc-aptoalro-Rvgi$/v pe2r1o-p,d2ru5o"
10994,Luxo for all,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eludxiao/-cfoatra-alolRlg-p$/ rp1or9do,.d9hu5t"
11155,"Mente, gestão e resultados",https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ntRe$.gc o3c9mi,o9.bs0-r","m-eemdpiare/ceantdaelodRgo$/r pi1sr9mo,d9ou5/"
11446,Meu livro da consciência,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/emdeiau/-claivtraolo-Rdg$a/ -p2cro2,nd4su5c"
11363,Minha vida dava uma série,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe4ms,-9.2b00r","m1/emdina/hcaa-tvaidloRag-$/d pa1rv7oa,d4-u5"
11409,Moda à brasileira,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe5ms,-0.2b00r","m1/emdoiad/aca-ata-blorRag$s/i pl3er2oir,da5u-0p"
11375,Motivos para sorrir,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/emdoiat/ivcaotsa-ploRagr$/a p-1sr9o,rd9ru5ir"
10267,Negociação total,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe4ms,-9.2b00r","m1/endeigao/caiatac-loRg-$t/o p2tra7ol,-d4pu5r"
11343,Negócios digitais,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe4ms,-9.2b00r","m1/endeigao/caiotasl-odRgig$/i pt2ar7ois,d4-pu5r"
11438,No colo dos anjos,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/endoia-c/oclaot-adloRgs$-/a p2nr2ojo,d4su5-"
11456,O Alienista,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe4ms,-9.2b00r","m1/eod-iaal/iecnaitsatlaoR-gp$/r po3rd2o.,dh4ut5"
11419,O bom e velho jeito de empreender,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ntRe$.gc o4c4mi,o9.bs0-r","m-eemdpiare/ceantdaelodRgo$/r pi2sr2mo,d4ou5/"
11344,O catador de sonhos,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eod-icaa/tcaadtoarlo-Rdg$e/ -p2sro2on,d4hu5"
11225,O cérebro com foco e disciplina,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-icae/rceabtraolo-Rcgo$/ mp1r9-of,od9cu5"
11153,O cérebro de alta performance,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eod-icae/rceabtraolo-Rdg$e/ p-2ar2lot,da4-u5p"
11062,O código da superação,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-icao/dciagtoa-lodRga$-/s p1ur9po,ed9ru5a"
10809,O inconsciente na sua vida profissional,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe9ms,-9.2b00r","m1/eod-ian/ccoantsacloiRegn$/t pe2r-4on,d9au5-s"
11092,O instinto do sucesso,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eod-ian/sctianttaolo-Rdg$o/ p-2sru2o,cd4eu5s"
11198,O líder alfa,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eod-ilaid/ecra-taallfoaRg-$p/ pr2or2od,d.4hu5t"
11210,O manual do líder,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-ima/acnautalo-Rdg$o/ -p1lir9do,ed9ru5-"
11189,O mapa da felicidade,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-ima/acpaat-adloaRg-$f/e p1lirc9oi,d9au5"
11449,O marido perfeito,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe4ms,-9.2b00r","m1/eod-ima/acraidtaol-oRpge$/r pf2er7oit,d4ou5-"
11395,O poder da alegria,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-5.2b00r","m1/eod-ipao/dcaetra-dloRag-$a/ pl2er1go,rd2iau5-"
11455,O poder da autorresponsabilidade,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ltiRev$.rco 1os9m-p,9.ab0rr","-mtoeddaias-/acsa-toacloagsRi/o$pe r9so/,d9a5u"
11476,O poder da Positividade,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"ohroamgen/ltiRev$.rco 3os9m-p,9.ab0rr","-mtoeddaias-/acsa-toacloaRgs$i/o p1er9so/,d9a5u"
11211,O poder de ser você,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-5.2b00r","m1/eod-ipao/dcaetra-dloReg-$/s pe2r1-ov,d2ou5c"
11448,O projeto Jane Austen,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a6oe4ms,-9.2b00r","m1/eod-ipar/ocjaettaol-oRjag$n/ pe3r-2oa,du4us5t"
11180,O que falta para você ser feliz?,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-iqau/eca-ftalltoaRg-$p/ pa1r9oa,-d9vu5o"
11348,O segredo da queima de 48 horas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe0ms,-0.2b00r","m1/eod-isae/gcraetdaoloR-gd$/a p-2qr5ou,d0eu0i"
11038,O sucesso é ser feliz,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe2ms,-0.2b00r","m1/eod-isau/cceastsaolo-Reg$-/s p2er1ro-,fd0eu0li"
11436,O único livro que todo empresário precisa ler,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eod-iuan/iccaot-alilvoRrgo$/- pq1ru9o,ed9-u5t"
11197,O vendedor inteligente,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a4oe4ms,-9.2b00r","m1/eod-viae/ncdateadloRgr-$/i np2tr2eo,ld4igu5e"
11430,ONG sustentável,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe4ms,-9.2b00r","m1/eodniga-/scuastatelonRgt$a/ pv1er7ol-,d4pu5r"
11116,Os segredos das apresentações poderosas,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a5oe5ms,-0.2b00r","m1/eodsi-as/ecgarteadl oRgs$/-d p2ar7os,-d5au0p"
11396,Os segredos para ter memória forte e cérebro sempre jovem,https://www.edi,ohrtatpgse:n//tset.acotimc.e.bdri,"odria-gdeanst-Rem$.c a3oe9ms,-9.2b00r","m1/eodsi-as/ecgarteadl oRgs$/-p 1ar9or,ad9-u5t"
11444,"Pare de dar murro em ponta de faca https://www.editohrtatpgse:n//tset.acotimc.e.bdri/tohroamgen/ltiRev$.rco 4os4m-p,9.ab0rra/-mtoeddaias-/acsa-toacloaRgs$i/o p2er2so/,d4a5uctot/apju/ad/ap/apraer-ed-ed-ed-adra-mr-mururror-oe-mem-p-opnotnat-ad-ed-efa-fcaac-ac-apprao.djp.hgtml"
11387,"Pense dentro da caixa https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe0ms,-0.2b00r2/m1/epdeina/scea-dtaelnoRtgr$/o p2-rd0oa,d0-cu0acitx/ap-/per/opde.hntsme-ldentro-da-caixa.jpg"
11403,"Pense simples https://www.editohrtatpgse:n//tset.acotimc.e.bdri/tohroamgen/ltiRev$.rco 4os4m-p,9.ab0rra/-mtoeddaias-/acsa-toacloaRgs$i/o p2er2so/,d4inu5ocvt/apc/-oe/-ep-eenmsep-rseimenpdlesd.ojprgismo/pense-simples-prod.html"
11406,"Pessoas de resultado https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/epdeisas/ocatsa-dloReg-$r/e p2sr2uo,ld4tua5dcto/-p/reo/dp.ehstmsolas-de-resultado.jpg"
11167,"Poder https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe0ms,-0.2b00r2/m1/epdoiad/ecra-ptaroloRdg.$/h pt2mr0o,ld0u0ct/p/o/poder.jpg"
11410,"Poder e alta performance https://www.editohrtatpgse:n//tset.acotimc.e.bdri/tohroamgen/ltiRev$.rco 4os4m-p,9.ab0rra/-mtoeddaias-/acsa-toacloaRgs$i/o p2er2so/,d4cua5rcrte/wira/-he/-wsuhcaetssaop/pp_oimdearg-e-_a2lt0a1-9p-e1r2fo-0rm5_aantc_e1-1p.r1o7d.2.h4t_m3l_.jpeg"
11451,"Problema ou oportunidade? Seu olhar para os negócios define seu suchetstpsos://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/epdrioab/cleamtaalo-Rog$u/ p-1or9op,do9ur5tcutn/pid/ar/dper-osbeule-molah_aor-up_aorap-oorst-unneigdoacdieo.sjp-dgefine-seu-sucesso-prod.html"
11026,"Problemas? Oba! https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe2ms,-5.2b00r2/m1/epdrioab/cleamtaalosR-go$/b p2ar1o-p,d2ru5ocdt./hpt/mr/lproblemas-oba_1.jpg"
11369,"Produtividade para quem quer tempo https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/epdrioad/cuatitvaildoRag$d/ ep2-r2po,ad4ru5ac-tq/uwe/mh/-qwuheart-staepmpp_oim-pargoed_.h2t0m1l9-12-05_at_11.17.26_3_.jpeg"
11381,"Quero ficar rico https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/eqduiae/roca-ftiaclaoRrg-$r/i pc1or9o-,pd9ru5ocdt/.hqt/mu/lquero-ficar-rico.jpg"
11376,"Relacionamento, influência e negócios https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/erdeila/ccioant almoRge$/n p1tro9o-,di9nu5fclut/ern/eci/ar-eel-anceiognoacmioes-nptroo-din.hfltumenl cia-e-negocios.jpg"
11458,"Relações destrutivas https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a5oe4ms,-9.2b00r2/m1/erdeila/ccoaetsa-ldoReg$s/t pr2ru7ot,di4vu5acst-/prr/oed/.rhetlamcloes-destrutivas.jpg"
10796,"Resiliência https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/erdeisail/iceantcailaoR-gp$/r po2rd2o.,hd4tu5mctl/r/e/resiliaordfncia-gr-al.jpg"
11219,"Resolva! https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe0ms,-0.2b00r2/m1/erdeisao/lcvat-aplroRogd$/. ph2rt0om,d0lu0ct/r/e/resolva_1.jpg"
11325,"S.O.S ONG https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/esd-oia-s/c-oantagl-oRpgr$/o pd1r9.oh,d9tmu5clt/s/o/sos-ong.jpg"
11413,"Saldo positivo https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/esdailad/oc-aptoasloiRtgiv$/o p2-r2po,rd4ou5dc.th/tsm/al/saldo-positivo.jpg"
11340,"Se nada der certo até os 30, você se casa comigo? https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/esdei-an/acdaata-dloeRgr$-/c p2er2rot,d4ou5-acte/s-o/es/-3se0--nvaodcea-sde-rc-acseart-coo-amteig-os-p-3ro0d.jp.hgtml"
11300,"Seja o empresário da sua ideia https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/esdeija/-coa-etamlopRgr$/e ps1ra9or,id9ou5-cdta/-ss/uea/-siedjeai-ao--permodp.rhetsmarlio-da-sua-idea.jpg"
11431,"Seu sonho tem futuro https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/esdeiua-/scoantahloR-gt$e/ pm2r2o-f,d4uu5tuctr/os-/per/osde.uh-tsmonl ho-tem-futuro.jpg"
11418,"Sem Limites https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/esdinia-l/imcaittaelsoR-gp$/r po1rd9o.,hd9tu5mctl/s/e/sem-limites.jpg"
11365,"Sonhar alto, pensar grande https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a3oe9ms,-9.2b00r2/m1/esdoinah/caar-taltoRog-$/p p1ern9o,sd9au5r-cgt/ran/td/ea-tpuraolidza.hdtam_lusar_essa_2019.jpg"
11478,"Trabalho Organizado https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe2ms,-5.2b00r2/m1/etdraiab/aclahtoa-loRrgg$/a p2nr1ioz,da2ud5cot-/ptr/or/dt.rhatbmallho-organizado.jpg"
11184,"Transformando grama em ouro https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe0ms,-0.2b00r2/m1/etdraian/scfaotramloaRgn$/d p2or0-og,d0rua0mct/at-/erm/t-roaunrsofo-prmroadn.hdtom-glrama-em-ouro.jpg"
11085,"Transforme seus sonhos em vida https://www.editohrtatpgse:n//tset.acotimc.e.bdri/todria-gdeanst-Rem$.c a4oe4ms,-9.2b00r2/m1/etdraian/scfaotramloeRg-$s/ ep2ur2os,d-4su5ocnth/to/sr-/etrman-vsifdoar-mpreo-sde.hutsm-slonhos-em-vida_1.jpg"
