NINA AFRICA - CONTOS DE UMA AFRICA MENINA,"Lenice Gomes, Arlene Holanda, Clayson Gomes","R$51,60"
"NO REINO DOS PREAS, O REI CARCARA",João Bosco Bezerra Bonfim,"R$49,00"
"O QUE É, O QUE É?",Regina Mendes,"R$50,60"
"ORQUESTRA DOS MUSICOS DE BREMEN, A - ED. DE LUXO",Jonas Ribeiro,"R$46,60"
PAO.COM.MANTEIGA,Jonas Ribeiro,"R$35,00"
PARA SER AINDA MAIS FELIZ TODO DIA,Simão de Miranda,"R$46,10"
"PARADEIRO DO PADEIRO, O",Marco Miranda,"R$42,70"
"PERFUME DO MAR, O",Jonas Ribeiro,"R$48,20"
PINGO,Vera Lúcia Dias,"R$42,70"
"PIRATA, AO ATAQUE!",Agustín Comotto,"R$45,50"
PIRULITO,Alessandra Pontes Roscoe,"R$45,50"
"PISCINA CRISTALINA DE MARINA, A",Jonas Ribeiro,"R$42,70"
"POESIA DOS BICHOS, A",Tatiana Bianchini,"R$37,40"
"PROTESTO DAS BRUXAS, O",Maria Elaine Cambraia,"R$44,16"
QUANDO A VERGONHA BATE ASAS...,Jonas Ribeiro,"R$46,90"
QUANDO EU CRESCER,Rodrigo Abrahim,"R$40,60"
QUANTO VALE O SEU SORRISO?,Rose Costa,"R$46,10"
QUE BICHO E ESTE?,Liana Leão,"R$46,40"
QUE CHEIRINHO E ESSE?,Vera Lúcia Dias,"R$45,50"
QUEM É O CENTRO DO MUNDO?,Clara Rosa Cruz Gomes,"R$38,60"
"RÁ, RÉ, RI, RÓ... RUA!",Lenice Gomes,"R$53,10"
RAPIDO COMO UM FOGUETE,Regina Mendes,"R$46,10"
"REI QUE ODIAVA O VERAO, O",Agustín Comotto,"R$44,30"
RODA QUE RODA,Vera Lúcia Dias,"R$39,80"
ROLANDO E A BOLA,Cláudio Carvalho,"R$38,50"
ROMEU E JULIETA,William Shakespeare,"R$40,60"
RUMOS DE UM PEQUENO GUARANI,Mathias Townsend,"R$48,20"
"SAGA DE CANUDOS, A",Walter Vetillo,"R$49,50"
"SENHOR PAVAO,O",Alessandra Pontes Roscoe,"R$46,40"
SERA QUE E HISTORIA?,Iris Borges,"R$45,50"
SETE GRITOS DE TERROR,Edson Gabriel Garcia,"R$36,60"
SO O PRAZER JA NAO BASTA,Poliana,"R$32,70"
TANGOLOMANGO DOS CONTOS DE FADAS,Hozana Costa,"R$46,10"
"TEMPESTADE, A",William Shakespeare,"R$39,30"
"TRES PORQUINHOS E O LOBO BARRIGUDO, OS",Silvana de Menezes,"R$35,50"
"TRÊS PORQUINHOS E O LOBO ESPORTISTA,OS",Dad Squarisi e Marcia Duailibe Forte,"R$48,20"
"TRES PORQUINHOS PATETAS E O LOBO MAL-HUMORADO, OS",Silvana de Menezes,"R$45,50"
UM AMOR DE MIAU,Clara Rosa Cruz Gomes,"R$37,40"
UM MUNDO PARA COLORIR,Tatiana Bianchini,"R$25,30"
"VANDA VAMP - ESPELHO MEU, COMO SOU EU?",Silvana de Menezes,"R$52,20"
"VERDES, AZUIS E VERMELHINHAS",Vera Lúcia Dias,"R$39,80"
"VIAGEM DE JUJU,A",Clara Arreguy,"R$50,60"
VIAJANDO NO TEMPO COM A VOVO,Regina Drummond,"R$38,30"
VOVO CRISALIDA E O MISTERIO DA CAIXA DE FOTOGRAFIA,Liduina Bartholo de Oliveira,"R$49,90"
