Gomes et al.,Adoção: Pesquisa e clínica,1,168,98,2020,16x23,"0,11",brochura,978-85-86711-07-3,disp,"54,00","27,00"
Green,Brincar e Reflexões na Obra de Winnicott,1,80,205,2013,16x23,"0,09",brochura,978-85-64250-53-6,disp,"39,00","19,50"
Inst.Fazendo Hist.,Psicoterapia com crianças e adolescentes acolhidos,1,80,200,2018,19x19,"0,09",brochura,978-85-5524-082-9,disp,"39,00","19,50"
Iencarelli,Abuso sexual,2,176,250,2019,14x21,"0,11",brochura,978-85-5524-077-5,disp,"46,00","23,00"
Karniol,Faces da Mente,1,176,645,2013,21x28,"0,12",brochura,978-85-64250-66-6,disp,"65,00","32,50"
Karniol,Subjetividade na Esquizofrenia,2,111,204,2016,16x23,"0,10.",brochura,978-85-5524-022-5,disp,"40,00","20,00"
Karniol,Palimpsesto Mágico,1,176,600,2019,23x30,"0,13",brochura,978-85-5524-091-1,disp,"120,00","60,00"
Kupermann,Estilos do Cuidado,1,174,315,2017,16x23,"0,11",brochura,978-85-5524-036-2,disp,"55,00","27,50"
Kupermann et al.,Ferenczi: Inquietações psicanalíticas,1,320,545,2020,16x23,"0,21",brochura,978-65-86711-09-7,disp,"79,00","39,50"
Laboissière,O Corpo e o Fenômeno Psicossomático na Psic.,1,172,312,2021,16x23,"0,12",brochura,978-65-86711-42-4,disp,"54,00","27,00"
Laplanche,Três Destinos da Mensagem Enigmática,1,136,211,2020,16x23,"0,11",brochura,978-65-86711-16-5,disp,"46,00","23,00"
Levisky et al.,Dialogos psic. sobre familia e casal - Vol. 2,1,200,360,2014,16x23,"0,12",brochura,978-85-64250-89-5,disp,"52,00","26,00"
Linares,O sofrimento psicológico e o maltrato relacional,1,152,282,2015,16x23,"0,11",brochura,978-85-5524-002-7,disp,"45,00","22,50"
Malgarim,Psicanálise e Resiliência,1,196,351,2021,16x23,"0,12",brochura,978-65-86711-29-5,disp,"56,00","28,00"
Medeiros,Aquele Lugar Entre Nós,1,250,421,2020,16x23,"0,13",brochura,978-65-86711-03-5,disp,"55,00","27,50"
Mena,A função do pai em psicanálise,1,144,220,2021,16x23,"0,10.",brochura,978-85-5524-042-3,disp,"46,00","23,00"
Meyer,A Clínica da Psicose,1,112,205,2017,16x23,"0,10.",brochura,978-85-5524-042-3,disp,"45,00","22,50"
Moraes,A relação entre leitor e texto literario,1,143,215,2012,14x21,"0,10.",brochura,978-85-64250-49-9,disp,"33,00","16,50"
Moraes,O sujeito à deriva,1,152,223,2019,14x21,"0,11",brochura,978-85-5524-089-8,disp,"49,00","24,50"
Moura,Violência doméstica – ressignificando narrativas,1,124,231,2021,16x23,"0,10.",brochura,978-65-86711-35-6,disp,"46,00","23,00"
Nobre,Coco Chanel,1,181,324,2016,16x23,"0,12",brochura,978-85-5524-020-1,disp,"49,00","24,50"
Oliveira,A Fantasia em Psicanálise,1,121,187,2018,14x21,"0,10.",brochura,978-85-5524-079-9,disp,"46,00","23,00"
Outeiral,Winnicott - Seminários Cearenses,1,160,295,2012,16x23,"0,11",brochura,978-85-64250-37-6,disp,"42,00","21,00"
Paim,Inutil necessário: Precisamos de arte agora!?,1,176,305,2020,16x23,"0,12",brochura,978-85-5524-112-3,disp,"55,00","27,50"
Piva,Vincularidade,1,160,290,2020,16x23,"0,11",brochura,978-85-5524-109-3,disp,"54,00","27,00"
Penha,Psicanálise e Cinema,1,165,300,2018,16x23,"0,11",brochura,978-85-5524-072-0,disp,"55,00","27,50"
Pereira e Coelho Jr    et,"lS. onhar – Figurar o terror, sustentar o desejo",1,352,620,2021,16x23,"0,21",brochura,"978-65-86711-34-9978-65-86711-45-5",disp,"89,00","44,50"
Peron e Ambra et al,Provocações para a Psicanálise no Brasil,1,180,328,2021,16x23,"0,12",brochura,disp,"65,00","32,50",
Pessoa,Provocações Neuropsicológicas,1,140,225,2018,16x23,"0,10.",brochura,978-85-5524-076-8,disp,"49,00","24,50"
Pulice,Fund. Clínicos  Acompanhamento Terapêutico,1,190,295,2012,16x23,"0,12",brochura,978-85-64250-39-0,disp,"45,00","22,50"
Rahmeier et al.,Existir na Cidade,1,190,340,2018,16x23,"0,12",brochura,978-85-5524-078-2,disp,"58,00","29,00"
Reitter,Édipo Gay – Heteronormatividade e Psicanálise,1,160,295,2021,16x23,"0,12",brochura,978-65-86711-26-4,disp,"56,00","28,00"
Ribeiro,"Paisagem, Imaginário e Narratividade",1,270,460,2015,16x23,"0,19",brochura,978-85-64250-77-2,disp,"45,00","22,50"
"Ribeiro, Diana",Práticas Grupais na Infância,1,126,190,2016,16x23,"0,10.",brochura,978-85-5524-026-3,disp,"39,00","19,50"
Rios Lima,Filhos? Só Depois,1,128,190,2013,14x21,"0,10.",brochura,978-85-64250-70-3,disp,"34,00","17,00"
Rosal,Vida de Expatriado,1,113,175,2016,14x21,"0,10.",brochura,978-85-5524-034-8,disp,"37,00","18,50"
Rudy,Buffet Freud,1,192,270,2012,14x21,"0,10.",brochura,978-85-64250-24-6,disp,"39,00","19,50"
Santi,Desejo e Adição nas Relações de Consumo,1,144,212,2011,14x21,"0,10.",brochura,978-85-64250-04-8,disp,"39,00","19,50"
Santi,Eu e o Outro na Cidade,1,175,306,2016,16x23,"0,11",brochura,978-85-5524-021-8,disp,"49,00","24,50"
Santi,A Subjetividade no Ambiente Virtual,1,140,211,2020,16x23,"0,11",brochura,978-65-86711-17-2,disp,"46,00","23,00"
Sekkel,Licenciatura em Psicologia,1,160,300,2013,16x23,"0,11",brochura,978-85-64250-68-0,disp,"42,00","21,00"
Signorelli,Agressividade na Clínica com Crianças,1,128,221,2021,16x23,"0,11",brochura,978-65-86711-39-4,disp,"48,00","24,00"
Simon,Novos Avanços em Psicoterapia Psicanalítica,1,179,312,2016,16x23,"0,12",brochura,978-85-5524-023-2,disp,"55,00","27,50"
Souza,Nietzsche e a genealogia da moral,1,90,145,2014,14x21,"0,10.",brochura,978-85-64250-52-9,disp,"29,00","14,50"
Stürmer,(In)Fidelidades Cotidianas,1,136,232,2021,16x23,"0,12",brochura,978-65-86711-37-0,disp,"49,00","24,50"
Ventura,Cuidado Integral ao Idoso Hospitalizado,1,287,591,2015,17x24,"0,21",capa dura,978-85-5524-005-8,disp,"139,00","69,50"
Vianna Sobrinho,O Ocaso da Clínica: A Medicina de Dados,1,160,295,2021,16x23,"0,12",brochura,978-65-86711-22-6,disp,"53,00","26,50"
Vichietti,Psicologia Social e Imaginário,1,190,209,2012,16x23,"0,12",brochura,978-85-64250-38-3,disp,"42,00","21,00"
Tarelho,Paranoia e teoria da sedução,1,152,237,2019,16x23,"0,11",brochura,978-85-5524-098-0,disp,"47,00","23,50"
Telles,O avesso do cotidiano,1,134,255,2014,16x23,"0,10.",brochura,978-85-64250-83-3,disp,"44,00","22,00"
Zago,Amor Bandido,1,126,160,2011,14x21,"0,10.",brochura,978-85-64250-10-9,disp,32.00,"16,00"
Zlotnic,Gestalt-terapia e Transferência,1,137,250,2017,16x23,"0,10.",brochura,978-85-5524-045-4,disp,"47,00","23,50"
"",,,,,,,,,,,,
Autor(es),Título,Edição,Págs.,"Peso(g)",ANO,Formato,Lombada,"Encadernação",ISBN,Status,Preço,"Com desc.50%"
Cavaco,Lara do Planeta Perfetto,1,32,85,2011,18x18,"0,03",brochura,978-85-64250-21-5,disp,"23,00","11,50"
Cerqueira,Assim nascem os heróis,1,32,105,2014,18x18,"0,05",brochura,978-85-64250-81-9,disp,"29,00","14,50"
Ehrlich,O rapto do Tacataca,1,32,135,2012,17x24,"0,05",brochura,978-85-64250-43-7,disp,"22,00","11,00"
Imparatto,Casa de Mariana,1,32,195,2014,28x21,"0,05",brochura,978-85-64250-40-6,disp,"36,00","18,00"
Karniol,O menino que foi adoçado,1,128,155,2021,21x21,"0,05",brochura,978-65-86711-31-8,disp,"45,00","22,50"
Leca,Naiá,1,32,155,2013,17x24,"0,05",brochura,978-85-64250-54-3,disp,"29,00","14,50"
Lima,Theodoro e Marina,2,80,110,2011,21x14,"0,09",brochura,978-85-64250-02-4,disp,"29,00","14,50"
Mascarenhas,O menino polvo,1,40,132,2021,17x24,"0,05",brochura,978-65-86711-32-5,disp,"29,00","14,50"
Moura,Uma coisa bem pequena e sem nome,1,24,65,2011,18x18,"0,03",brochura,978-85-64250-22-2,disp,"17,00","8,50"
Quintanilha,Zinn - Sozinho na Escola (bullying),1,40,80,2011,17x17,"0,03",brochura,978-85-64250-05-5,disp,"23,00","11,50"
Quintanilha,"Segura a onda, Asdrubal!",1,40,75,2011,17x17,"0,03",brochura,978-85-64250-12-3,disp,"23,00","11,50"
Quintanilha,Heráclito e as famílias da floresta,1,32,75,2011,17x17,"0,03",brochura,978-85-64250-13-0,disp,"23,00","11,50"
Riga,Reticências,1,64,140,2014,14x21,"0,10.",brochura,978-85-64250-88-8,disp,"25,00","12,50"
Ruiz,Incríveis descobertas no dia a dia com diabetes,1,32,150,2012,24x17,"0,05",brochura,978-85-64250-32-1,disp,"35,00","17,50"
Zancan,O Saci sem Pererê,1,24,85,2012,16x23,"0,03",brochura,978-85-64250-33-8,disp,"18,00","9,00"
